timestamp,url,title,ground_truth,predicted_label,confidence,twitter_signal,num_sources,real_score,fake_score,final_verdict,correct
2026-04-04T14:21:01,https://www.aljazeera.com/news/2026/4/3/iran-war-what-is-happening-on-day-35-of-us-israeli-attacks,Iran war: What is happening on day 35 of US-Israeli attacks?,REAL,REAL,0.9997952580451965,HIGH ACTIVITY,5,4,0,LIKELY REAL,1
2026-04-04T16:25:59,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.newsonair.gov.in/india-strongly-condemns-remarks-of-pakistani-army-chief-on-potential-nuclear-threat/&ved=2ahUKEwiAs9q0hNSTAxWZ-zgGHdFWGcMQFnoECCAQAQ&usg=AOvVaw1G3yH4WUmJeWf2VypISS0W,,UNKNOWN,,,,0,0,0,NO INPUT,
2026-04-04T16:27:50,https://www.newsonair.gov.in/india-strongly-condemns-remarks-of-pakistani-army-chief-on-potential-nuclear-threat/,India Strongly Condemns Remarks Of Pakistani Army Chief On Potential Nuclear Threat,UNKNOWN,FAKE,0.6155298352241516,HIGH ACTIVITY,5,2,2,UNCERTAIN,
