timestamp,video_path,claim,ground_truth,predicted_label,confidence,twitter_signal,num_sources,total_frames,real_frames,fake_frames,has_audio,face_ratio,has_metadata,has_creation_time,has_device_info,encoder,suspicious_encoder,real_score,fake_score,final_verdict,correct
2026-04-04T14:11:36,/private/var/folders/98/ms95_z7n6374y5d36016trdh0000gn/T/gradio/471b76f863d2ca300e2f28cd438b9e55da09e7d5cefc3a69b47a20a36ca5c3be/Replacing_the_Dopamine_Loop_with_a_Pocket_Notebook_480P.mp4,Replacing the Dopamine Loop with a Pocket Notebook 480P,UNKNOWN,FAKE,0.5714285714285714,HIGH ACTIVITY,5,291,287,4,True,0.66,True,False,False,Lavf62.3.100,True,3,4,LIKELY FAKE,
2026-04-04T14:24:27,/private/var/folders/98/ms95_z7n6374y5d36016trdh0000gn/T/gradio/058efe10294abe5a7f0bdeb0b29a59a3b2f423c4cc2867bf22fa291d29bd9fcb/parshant_test2.mp4,parshant test2,FAKE,REAL,1.0,HIGH ACTIVITY,5,12,12,0,True,1.0,True,False,False,,False,6,0,LIKELY REAL,0
2026-04-04T14:46:05,/private/var/folders/98/ms95_z7n6374y5d36016trdh0000gn/T/gradio/3211d44a04156eb3759b88ad2d8520fe4152c2400a40bde780e167684036b5ba/NDSA_Chairman_Mr._Anil_Jain_on_the_Significance_of_the_National_Dam_Safety_Authority_144P.mp4,NDSA Chairman Mr. Anil Jain on the Significance of the National Dam Safety Authority 144P,FAKE,REAL,0.625,HIGH ACTIVITY,5,250,250,0,True,0.88,True,False,False,Lavf62.3.100,True,6,2,LIKELY REAL,0
